neighbourhood_cleansed,average_days_as_host,newest_host,oldest_host
Agronomia,2053.88,2024-01-09,2011-07-30
Almagro,2406.81,2024-08-22,2010-02-06
Balvanera,2286.73,2024-08-10,2009-07-14
Barracas,2286.35,2024-06-16,2011-01-28
Belgrano,2477.39,2024-08-17,2010-03-09
Boca,2138.52,2024-06-10,2011-09-12
Boedo,2224.77,2024-08-23,2011-03-06
Caballito,2216.47,2024-08-21,2010-01-09
Chacarita,2664.83,2024-07-25,2009-04-14
Coghlan,2525.03,2024-05-02,2011-03-01
Colegiales,2576.45,2024-08-23,2010-03-14
Constitucion,2289.62,2024-08-15,2010-02-03
Flores,1895.84,2024-08-14,2013-01-15
Floresta,2047.1,2024-06-03,2012-12-25
Liniers,2161.29,2024-05-21,2013-07-04
Mataderos,2330.26,2024-03-28,2015-04-07
Monserrat,2285.42,2024-08-19,2009-12-21
Monte Castro,1523.5,2024-06-04,2013-03-13
Nueva Pompeya,2304.94,2024-03-12,2014-02-05
Nuñez,2496.91,2024-08-13,2009-09-05
Palermo,2694.83,2024-08-18,2009-04-14
Parque Avellaneda,2203.57,2023-06-27,2013-07-18
Parque Chacabuco,2185.12,2024-03-15,2011-06-18
Parque Chas,2534.8,2024-08-02,2010-12-14
Parque Patricios,1917.4,2024-05-22,2012-01-05
Paternal,2498.37,2024-01-18,2011-11-29
Puerto Madero,2549.33,2024-08-18,2010-07-09
Recoleta,2563.79,2024-08-22,2009-04-14
Retiro,2524.69,2024-08-24,2009-08-20
Saavedra,2461.11,2024-08-07,2011-05-02
San Cristobal,2265.05,2024-06-27,2011-04-18
San Nicolas,2268.44,2024-08-24,2010-03-12
San Telmo,2519.69,2024-08-21,2009-06-28
Velez Sarsfield,2777.48,2024-05-13,2010-12-14
Versalles,1546.33,2022-11-23,2018-01-23
Villa Crespo,2454.21,2024-08-07,2010-01-30
Villa Del Parque,2352.27,2024-07-28,2012-05-06
Villa Devoto,2274.03,2024-05-08,2011-01-12
Villa Gral. Mitre,2406.24,2024-05-19,2012-07-11
Villa Lugano,2803.57,2019-04-12,2014-10-31
Villa Luro,2257.03,2024-07-24,2012-06-11
Villa Ortuzar,2499.05,2024-06-13,2009-11-15
Villa Pueyrredon,2067.25,2024-05-13,2011-08-13
Villa Real,2160.43,2023-03-24,2015-06-16
Villa Riachuelo,1654.25,2022-01-09,2018-11-24
Villa Santa Rita,1946.92,2024-04-12,2012-09-04
Villa Soldati,2026.0,2019-05-07,2019-05-07
Villa Urquiza,2390.17,2024-07-31,2011-01-12
