neighbourhood,average_price,total_bookings
Agronomia,29137.8,534
Almagro,67240.26,21489
Balvanera,74954.68,21173
Barracas,185670.15,5234
Belgrano,63183.53,31077
Boca,204822.15,1963
Boedo,41666.73,1536
Caballito,37180.56,8779
Chacarita,33824.02,11186
Coghlan,49266.72,1715
Colegiales,70710.16,12995
Constitucion,33463.38,11025
Flores,32330.89,2181
Floresta,39343.0,399
Liniers,34596.09,155
Mataderos,32125.22,234
Monserrat,77077.67,37967
Monte Castro,29660.42,140
Nueva Pompeya,20026.86,68
Nuñez,42190.7,13459
Palermo,65733.21,372611
Parque Avellaneda,53629.32,140
Parque Chacabuco,32862.59,973
Parque Chas,37480.42,837
Parque Patricios,30830.86,871
Paternal,29111.79,236
Puerto Madero,101112.14,12309
Recoleta,52143.33,136920
Retiro,62475.23,45679
Saavedra,39457.37,3563
San Cristobal,57940.56,2647
San Nicolas,72482.02,71239
San Telmo,187292.61,29022
Velez Sarsfield,33091.83,186
Versalles,44173.86,46
Villa Crespo,127048.18,26978
Villa Del Parque,36558.01,1400
Villa Devoto,37928.4,1334
Villa Gral. Mitre,30264.73,302
Villa Lugano,27550.71,42
Villa Luro,1231679.06,420
Villa Ortuzar,90632.15,1733
Villa Pueyrredon,28783.71,719
Villa Real,21094.0,39
Villa Riachuelo,17964.5,0
Villa Santa Rita,35933.59,618
Villa Soldati,,0
Villa Urquiza,33668.22,5324
