host_location,count
"Buenos Aires, Argentina",23518
Argentina,1044
"Vicente López, Argentina",177
"Barcelona, Spain",157
"Ramos Mejía, Argentina",140
"Miami, FL",121
"San Isidro, Argentina",115
"Madrid, Spain",104
"Tigre, Argentina",90
"La Plata, Argentina",71
"Montevideo, Uruguay",66
"Mar del Plata, Argentina",56
"Pilar, Argentina",51
"San Carlos de Bariloche, Argentina",48
"Olivos, Argentina",47
"Punta del Este, Uruguay",47
"London, United Kingdom",46
"New York, NY",45
"Mexico City, Mexico",42
"Bella Vista, Argentina",36
"North Miami Beach, FL",36
"Los Angeles, CA",35
"Paris, France",35
"Córdoba, Argentina",33
"Florida, Argentina",32
Panama,32
"Martínez, Argentina",31
"La Lucila, Argentina",30
"Belén de Escobar, Argentina",29
"Rio de Janeiro, Brazil",29
"Buenos Aires Province, Argentina",28
"Berlin, Germany",28
"Lyon, France",24
"Banfield, Argentina",23
"Zarate, Argentina",23
"São Paulo, Brazil",21
"Mendoza, Argentina",20
"Rosario, Argentina",20
"Neuquen, Argentina",19
"San Francisco, CA",18
"Santiago, Chile",17
"Luján, Argentina",17
"Tibau do Sul, Brazil",16
"Acassuso, Argentina",16
"Berazategui, Argentina",16
"Quilmes, Argentina",15
"Miami Beach, FL",15
"Rome, Italy",15
"Bern, Switzerland",15
"Adrogué, Argentina",15
"Avellaneda, Argentina",15
"Bragado, Argentina",14
"Plougastel-Daoulas, France",14
United States,14
"Amsterdam, Netherlands",14
"Castelar, Argentina",13
"Ituzaingó, Argentina",13
"Bernal, Argentina",13
"Tandil, Argentina",13
"Sydney, Australia",12
"Lanús, Argentina",12
"Florianópolis, Brazil",12
"Milan, Italy",12
"Chivilcoy, Argentina",12
"Santa Fe, Argentina",12
"San Fernando, Argentina",12
"Ingeniero Maschwitz, Argentina",12
"Campana, Argentina",11
"Lutry, Switzerland",11
"Valencia, Spain",11
"Asuncion, Paraguay",11
"Resistencia, Argentina",11
"La Tablada, Argentina",11
"Nueve de Julio Partido, Argentina",10
Uruguay,10
"Stockholm, Sweden",10
"Autonomous City of Buenos Aires, Argentina",10
"Lomas de Zamora, Argentina",10
"Geneva, Switzerland",10
"San Luis, Argentina",10
"Zurich, Switzerland",10
"Urquiza, Argentina",9
Spain,9
"Houston, TX",9
"San Diego, CA",9
"Palma, Spain",9
"Boulogne, Argentina",9
"State of Rio de Janeiro, Brazil",9
"Asunción, Paraguay",9
"San Antonio de Padua, Argentina",8
"Paraná, Argentina",8
"San Miguel, Argentina",8
"Puerto Madryn, Argentina",8
"General Pacheco, Argentina",8
"Lanús Este, Argentina",8
"Benavidez, Argentina",8
"Montevideo Department, Uruguay",7
"Ushuaia, Argentina",7
