neighbourhood,mean,count
Puerto Madero,59422.329032258065,155
Palermo,37073.16507614213,9850
Colegiales,36873.982683982686,693
Recoleta,36382.878814880816,4489
Belgrano,35671.303194695596,1659
Retiro,34881.31914893617,1410
Versalles,34674.666666666664,6
Nuñez,34191.291666666664,624
Velez Sarsfield,33091.833333333336,18
Villa Devoto,32877.0206185567,97
Floresta,32458.341463414636,41
San Telmo,32178.930555555555,864
Barracas,31876.575875486382,257
San Nicolas,31849.1164021164,2079
Villa Urquiza,31165.860892388453,381
Parque Chacabuco,31141.20588235294,68
Parque Chas,30679.3125,64
Villa Crespo,30099.615732368897,1106
Monte Castro,29660.416666666668,12
Almagro,29658.87479541735,1222
Chacarita,29623.875,560
Mataderos,29603.277777777777,36
Monserrat,29593.886392811295,1558
Villa Del Parque,29582.410714285714,112
Boca,29496.296296296296,108
Caballito,29457.94152923538,667
Saavedra,29053.94782608696,230
Parque Patricios,28780.29761904762,84
Villa Gral. Mitre,28479.027777777777,36
Villa Luro,28195.51724137931,29
Villa Ortuzar,27780.3125,112
Liniers,27616.136363636364,22
Villa Lugano,27550.714285714286,7
Agronomia,27335.94871794872,39
Balvanera,27309.57736516357,1131
Paternal,27256.787234042553,47
Villa Santa Rita,27211.032258064515,31
Constitucion,27126.25799086758,438
Flores,26687.748344370862,151
Villa Pueyrredon,26654.640625,64
Coghlan,26471.728155339806,103
Parque Avellaneda,25949.25,16
Boedo,25343.521739130436,115
San Cristobal,25173.18932038835,206
Villa Real,21094.0,2
Nueva Pompeya,20026.85714285714,14
Villa Riachuelo,17964.5,2
